STATION,Date,DAPR,MDPR,Precmm,SNOW,SNWD,TMAX,TMIN,TOBS
USC00312200,5/30/15,,,0,,,26.7,12.8,16.7
USC00312200,5/31/15,,,0.3,,,26.7,14.4,24.4
USC00312200,6/1/15,,,2.5,,,27.2,15,15.6
USC00312200,6/2/15,,,24.1,,,27.8,15,15.6
USC00312200,6/3/15,,,15,,,24.4,12.2,12.8
USC00312200,6/4/15,,,5.3,,,24.4,12.2,12.8
USC00312200,6/5/15,,,7.1,,,26.7,12.8,15
USC00312200,6/6/15,,,0,,,27.8,14.4,14.4
USC00312200,6/7/15,,,0,,,28.9,14.4,14.4
USC00312200,6/8/15,,,0,,,27.2,14.4,17.8
USC00312200,6/9/15,,,24.4,,,28.9,16.7,17.2
USC00312200,6/10/15,,,0,,,28.9,13.3,13.9
USC00312200,6/11/15,,,0,,,30,13.9,16.7
USC00312200,6/12/15,,,1.3,,,28.9,16.7,17.8
USC00312200,6/13/15,,,13.2,,,26.7,17.8,18.9
USC00312200,6/14/15,,,0,,,29.4,16.1,27.2
USC00312200,6/15/15,,,0,,,31.7,16.1,16.7
USC00312200,6/16/15,,,0,,,32.2,16.1,18.3
USC00312200,6/17/15,,,0,,,32.8,17.2,19.4
USC00312200,6/18/15,,,52.3,,,32.8,19.4,21.7
USC00312200,6/19/15,,,0.3,,,33.3,20.6,20.6
USC00312200,6/20/15,,,2.5,,,31.7,18.9,20
USC00312200,6/21/15,,,1.8,,,28.9,16.7,24.4
USC00312200,6/22/15,,,0,,,32.2,16.1,20
USC00312200,6/23/15,,,0,,,32.8,17.8,19.4
USC00312200,6/24/15,,,0,,,31.7,18.9,21.7
USC00312200,6/25/15,,,0,,,33.9,18.3,18.9
USC00312200,6/26/15,,,0,,,32.2,16.7,17.2
USC00312200,6/27/15,,,3.6,,,33.3,17.2,18.3
USC00312200,6/28/15,,,5.6,,,27.8,13.3,17.2
USC00312200,6/29/15,,,0,,,26.7,11.7,11.7
USC00312200,6/30/15,,,0,,,27.2,11.7,16.7
